2;BOTANICO
3;SANTA ROSA
4;VIRGEN DE FATIMA
5;SANTISIMA TRINIDAD
6;MBOCAYATY
7;TABLADA NUEVA
8;MBURUCUYA
9;VIRGEN DE LA ASUNCION
10;CAÑADA DEL YBYRAY
11;MADAME ELISA ALICIA LYNCH
12;SALVADOR DEL MUNDO
13;JARA
14;VIRGEN DEL HUERTO
15;LAS LOMAS
16;SANTO DOMINGO
17;LAS MERCEDES
18;DR. GASPAR RODRIGUEZ DE FRANCIA
19;SAN JORGE
20;LA ENCARNACION
21;SAN ANTONIO
22;MANORA
23;ITA PYTA PUNTA
24;MCAL. FRANCISCO SOLANO LOPEZ
25;YCUA SATI
26;SAN ROQUE
27;VILLA MORRA
28;RECOLETA
29;SAN CRISTOBAL
30;CIUDAD NUEVA
31;GRAL. JOSE EDUVIGIS DIAZ
32;SILVIO PETTIROSSI
33;MBURICAO
34;BERNARDINO CABALLERO
35;LUIS ALBERTO DE HERRERA
36;OBRERO INTENDENTE B. GUGGIARI
37;MCAL. JOSE FELIX ESTIGARRIBIA
38;PINOZA
39;TEMBETARY
40;LOS LAURELES
41;HIPODROMO
42;ZEBALLOS CUE
43;DE LA RESIDENTA
44;ÑU GUAZU
45;YTAY
46;SANTA MARIA
47;VILLA AURELIA
48;SAN VICENTE
49;VISTA ALEGRE
50;NAZARETH
51;SAN PABLO
52;TERMINAL
53;SAJONIA
54;PRESIDENTE CARLOS ANTONIO LOPEZ
55;TACUMBU
56;ROBERTO L. PETIT
57;REPUBLICANO
58;ITA ENRAMADA
59;BELLA VISTA
60;LA CATEDRAL
61;BAÑADO CARA CARA
62;SANTA ANA
63;BAÑADO
64;BANCO SAN MIGUEL
65;LOMA PYTA
66;SAN BLAS
67;RICARDO BRUGADA
